"Detailed household final consumption expenditure, Canada, quarterly (x 1,000,000)"
"Quarterly"
"Table: 36-10-0124-01 (formerly CANSIM 380-0085)"
"Geography: Canada"

"","Current prices",,,,,,
"","Unadjusted",,,,,,
"","Canada",,,,,,
"Estimates","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020"
"","Dollars",,,,,,
"Household final consumption expenditure","303,412","328,905","330,627","336,363","303,336","280,136","320,602"
"Food and non-alcoholic beverages","27,270","29,864","30,151","30,872","30,148","33,119","32,641"
"Food","24,491","26,711","26,867","27,721","27,100","29,766","29,077"
"Non-alcoholic beverages","2,779","3,153","3,284","3,151","3,048","3,353","3,564"
"Alcoholic beverages, tobacco and cannabis","10,777","12,112","12,598","12,592","11,397","12,836","13,642"
"Alcoholic beverages","4,889","6,145","6,659","6,670","5,303","6,601","7,276"
"Tobacco","4,554","4,624","4,596","4,576","4,713","4,804","4,788"
"Cannabis products for non-medical use (licensed)","301","365","408","456","539","630","824"
"Cannabis products for non-medical use (unlicensed)","1,033","978","935","890","842","801","754"
"Clothing and footwear","9,738","12,722","13,026","16,381","8,332","7,346","11,956"
"Clothing materials, other articles of clothing and clothing accessories","871","1,050","1,118","1,700","784","558","1,035"
"Garments","6,986","9,200","9,447","11,960","6,023","5,315","8,678"
"Cleaning of clothing","344","377","355","364","307","233","282"
"Footwear","1,537","2,095","2,106","2,357","1,218","1,240","1,961"
"Housing, water, electricity, gas and other fuels","77,976","77,158","78,209","80,231","81,673","80,648","81,838"
"Paid rental fees for housing","16,141","16,912","17,689","17,341","17,035","17,801","18,563"
"Imputed rental fees for housing","47,868","50,639","52,166","51,321","50,511","53,176","54,443"
"Materials for the maintenance and repair of the dwelling","614","975","962","746","656","1,049","1,131"
"Services for the maintenance and repair of the dwelling","135","131","123","135","130","106","117"
"Water supply and sanitation services","2,221","2,351","2,361","2,258","2,338","2,518","2,520"
"Electricity","6,760","4,185","3,817","5,323","6,754","4,230","4,062"
"Gas","3,195","1,386","662","2,250","3,215","1,273","618"
"Other fuels","1,042","579","429","857","1,034","495","384"
"Furnishings, household equipment and other goods and services related to the dwelling and property","14,081","17,957","18,025","19,345","14,447","17,321","19,845"
"Furniture and furnishings","3,904","5,082","5,052","5,498","3,896","5,014","5,695"
"Carpets and other floor coverings","190","211","215","214","187","175","232"
"Household textiles","791","936","1,001","1,125","731","807","1,114"
"Major household appliances","1,434","1,790","1,878","1,893","1,486","1,956","2,353"
"Small electric household appliances","466","541","556","831","510","686","714"
"Major tools and equipment","525","1,091","848","880","539","1,210","1,095"
"Small tools and miscellaneous accessories","524","1,127","869","798","569","1,205","988"
"Other semi-durable household goods","1,656","1,874","2,032","2,574","1,730","1,771","2,227"
"Other non-durable household goods","1,925","2,325","2,541","2,504","2,210","2,548","2,841"
"Repair of personal and household goods except vehicles","588","754","715","710","550","620","681"
"Renting and leasing of personal and household goods except passenger vehicles","738","846","923","837","705","621","785"
"Other services related to the dwelling and property","1,340","1,380","1,395","1,481","1,334","708","1,120"
"Health","13,454","14,051","14,090","14,106","13,329","10,766","12,981"
"Pharmaceutical products and other medical products (except cannabis)","5,367","5,502","5,501","5,663","5,741","5,655","6,097"
"Cannabis products for medical use","157","155","156","150","151","156","146"
"Therapeutic appliances and equipment","1,180","1,307","1,266","1,240","1,153","853","1,356"
"Out-patient services","5,896","6,222","6,288","6,180","5,440","3,500","4,703"
"Hospital services","854","865","879","873","844","602","679"
"Transport","43,878","52,634","52,818","47,295","39,277","30,767","45,366"
"New passenger cars","3,100","4,815","4,133","3,076","2,324","2,466","3,583"
"New trucks, vans and sport utility vehicles","9,893","12,706","13,377","11,263","8,558","8,609","15,370"
"Used motor vehicles","4,674","5,241","4,904","4,337","4,006","3,266","4,966"
"Other vehicles","652","1,248","896","647","643","1,390","962"
"Spare parts and accessories for vehicles","4,222","5,097","4,633","5,355","3,945","4,180","4,767"
"Fuels and lubricants","10,225","11,772","11,929","11,302","9,645","5,797","9,082"
"Maintenance and repair of vehicles","2,693","3,167","2,893","3,079","2,436","2,454","2,825"
"Parking","851","868","875","869","843","668","753"
"Passenger vehicle renting","281","332","408","356","271","188","243"
"Other services related to the operation of transport equipment","631","698","731","698","613","426","568"
"Railway transport","72","83","104","87","44","5","23"
"Urban transit","1,232","1,208","1,231","1,257","1,140","260","504"
"Interurban bus","241","237","269","274","228","30","38"
"Taxi and limousine","362","356","349","390","350","262","340"
"Air transport","4,031","3,867","4,938","3,482","3,573","178","483"
"Water transport","82","129","182","110","74","51","132"
"Other transport services","636","810","966","713","584","537","727"
"Communications","8,519","8,627","8,787","8,977","8,404","8,462","8,786"
"Postal services","460","454","436","535","478","479","472"
"Telecommunication equipment","302","313","344","415","292","265","361"
"Telecommunication services","7,757","7,860","8,007","8,027","7,634","7,718","7,953"
"Recreation and culture","21,917","26,276","26,999","26,875","21,636","21,528","25,421"
"Audio-visual and photographic equipment","1,421","1,491","1,610","2,413","1,366","1,490","1,751"
